"Folder","Order Guide"
"Add to List","Add to Order Guide"
"My Favorites","Order Guides"
"Folder Details","Update Order Guide"
"Add New Folder","Add New Order Guide"
"Folder has been successfully saved","Order Guide has been successfully saved"
"Unable to find folder for saving","Unable to find order guide for saving"
"Folder has been successfully removed","Order Guide has been successfully removed"
"Product has been successfully removed from the folder","Product has been successfully removed from the order guide"
"There was an error while removing item from the folder: %s","There was an error while removing item from the order guide: %s"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Product has been successfully added to the folder. Click <a href=""%s"">here</a> to continue shopping","Product has been successfully added to the order guide. Click <a href=""%s"">here</a> to continue shopping"
"There was an error while adding item to the list: %s","There was an error while adding item to the list: %s"
"Can not save item: %s.","Can not save item: %s."
"Quantities have been successfully updated","Quantities have been successfully updated"
"Favorites Section","Order Guide Section"
"Favorites","Order Guides"
"Enabled","Enabled"
"Name","Name"
"Save Name","Save Name"
"ID","ID"
"Edit","Edit"
"Add to Cart","Add to Cart"
"Are you sure?","Are you sure?"
"Remove","Remove"
"Fill in your favorites products to be able to purchase all of them with one click!","Create and manage your order guides for commonly ordered product sets."
"Create New Folder","Create New Order Guide"
"Product","Product"
"Details","Details"
"Price","Price"
"Qty","Qty"
"Move to:","Move to:"
"Select ...","Select ..."
"All Folders","All Order Guides"
"Update","Update"
"Start adding items from the <a href=""%s"">catalog</a> to your favorites right now!","Start adding items from the <a href=""%s"">catalog</a> to your order guides right now!"
"Add to Favorites","Add to Order Guide"
"General","General"
"There was an error while uploading CSV: %s","There was an error while uploading CSV: %s"
"Import from CSV was successfully finished","Import from CSV was successfully finished"
"check uploaded file","check uploaded file"
"New product list with name "%s" was created","New order guide with name "%s" was created"
"Nothing was imported","Nothing was imported",
"has no qty","has no qty"
"no product with SKU "%s" was found","no product with SKU "%s" was found"
"product with SKU "%s" is already processed","product with SKU "%s" is already processed"
"line","line"
"Already registered?","Howdy Partners!"